"voyelle" "partie" "vitesse" "durée"
"ain" "oral" "normal" 68
"ain" "oral" "normal" 61
"ain" "oral" "normal" 65
"ain" "oral" "normal" 46
"ain" "oral" "normal" 57
"ain" "oral" "normal" 80
"ain" "oral" "normal" 67
"ain" "oral" "normal" 52
"ain" "oral" "normal" 66
"ain" "oral" "normal" 61
"ain" "oral" "normal" 62
"ain" "oral" "normal" 73
"ain" "oral" "normal" 69
"ain" "oral" "normal" 73
"ain" "oral" "normal" 62
"ain" "oral" "normal" 44
"ain" "oral" "normal" 81
"ain" "oral" "normal" 68
"ain" "oral" "normal" 68
"ain" "oral" "normal" 68
"ain" "nasal" "normal" 143
"ain" "nasal" "normal" 170
"ain" "nasal" "normal" 194
"ain" "nasal" "normal" 110
"ain" "nasal" "normal" 135
"ain" "nasal" "normal" 205
"ain" "nasal" "normal" 192
"ain" "nasal" "normal" 197
"ain" "nasal" "normal" 122
"ain" "nasal" "normal" 152
"ain" "nasal" "normal" 140
"ain" "nasal" "normal" 201
"ain" "nasal" "normal" 103
"ain" "nasal" "normal" 97
"ain" "nasal" "normal" 155
"ain" "nasal" "normal" 148
"ain" "nasal" "normal" 177
"ain" "nasal" "normal" 169
"ain" "nasal" "normal" 146
"ain" "nasal" "normal" 126
"an" "oral" "normal" 70
"an" "oral" "normal" 87
"an" "oral" "normal" 121
"an" "oral" "normal" 68
"an" "oral" "normal" 50
"an" "oral" "normal" 65
"an" "oral" "normal" 69
"an" "oral" "normal" 79
"an" "oral" "normal" 49
"an" "oral" "normal" 50
"an" "oral" "normal" 47
"an" "oral" "normal" 116
"an" "oral" "normal" 55
"an" "oral" "normal" 38
"an" "oral" "normal" 81
"an" "oral" "normal" 71
"an" "oral" "normal" 64
"an" "oral" "normal" 72
"an" "oral" "normal" 33
"an" "oral" "normal" 46
"an" "nasal" "normal" 84
"an" "nasal" "normal" 205
"an" "nasal" "normal" 156
"an" "nasal" "normal" 181
"an" "nasal" "normal" 95
"an" "nasal" "normal" 131
"an" "nasal" "normal" 132
"an" "nasal" "normal" 173
"an" "nasal" "normal" 138
"an" "nasal" "normal" 117
"an" "nasal" "normal" 152
"an" "nasal" "normal" 148
"an" "nasal" "normal" 147
"an" "nasal" "normal" 185
"an" "nasal" "normal" 67
"an" "nasal" "normal" 152
"an" "nasal" "normal" 133
"an" "nasal" "normal" 104
"an" "nasal" "normal" 120
"an" "nasal" "normal" 180
"on" "oral" "normal" 104
"on" "oral" "normal" 130
"on" "oral" "normal" 79
"on" "oral" "normal" 47
"on" "oral" "normal" 50
"on" "oral" "normal" 14
"on" "oral" "normal" 56
"on" "oral" "normal" -59
"on" "oral" "normal" 75
"on" "oral" "normal" 53
"on" "oral" "normal" 54
"on" "oral" "normal" 90
"on" "oral" "normal" 53
"on" "oral" "normal" 58
"on" "oral" "normal" 65
"on" "oral" "normal" 111
"on" "oral" "normal" -22
"on" "oral" "normal" 90
"on" "oral" "normal" 62
"on" "oral" "normal" 44
"on" "nasal" "normal" 141
"on" "nasal" "normal" 215
"on" "nasal" "normal" 179
"on" "nasal" "normal" 158
"on" "nasal" "normal" 155
"on" "nasal" "normal" 164
"on" "nasal" "normal" 181
"on" "nasal" "normal" 176
"on" "nasal" "normal" 245
"on" "nasal" "normal" 210
"on" "nasal" "normal" 204
"on" "nasal" "normal" 151
"on" "nasal" "normal" 131
"on" "nasal" "normal" 170
"on" "nasal" "normal" 148
"on" "nasal" "normal" 167
"on" "nasal" "normal" 246
"on" "nasal" "normal" 161
"on" "nasal" "normal" 190
"on" "nasal" "normal" 111
